caseid,respondentid,houseviewed,option,fireplaces,bedrooms,preference,averagecostpersquarefootcomparisons,cashprice
1271,29,4,B,no,4 bedroom,0,90,470000
1272,29,4,C,no,4 bedroom,0,110,470000
1273,29,5,A,no,4 bedroom,0,100,370000
1274,29,5,B,no,4 bedroom,0,90,420000
1275,29,5,C,no,3 bedroom,1,100,370000
1276,29,6,A,no,4 bedroom,0,110,370000
1277,29,6,B,no,4 bedroom,0,100,420000
1278,29,6,C,no,3 bedroom,1,90,370000
1279,29,7,A,no,4 bedroom,0,100,370000
1280,29,7,B,no,3 bedroom,0,90,470000
1281,29,7,C,no,3 bedroom,1,90,420000
1282,29,8,A,no,2 bedroom,1,100,370000
1283,29,8,B,no,3 bedroom,0,110,420000
1284,29,8,C,no,2 bedroom,0,100,470000
1285,29,9,A,no,2 bedroom,0,110,470000
1286,29,9,B,no,3 bedroom,1,100,370000
1287,29,9,C,no,2 bedroom,0,90,370000
1288,29,10,A,no,2 bedroom,0,90,470000
1289,29,10,B,no,2 bedroom,1,90,420000
1290,29,10,C,no,2 bedroom,0,90,420000
1291,29,11,A,no,2 bedroom,0,100,470000
1292,29,11,B,no,3 bedroom,1,110,420000
1293,29,11,C,no,2 bedroom,0,110,470000
1294,29,12,A,no,2 bedroom,0,110,370000
1295,29,12,B,no,4 bedroom,0,100,470000
1296,29,12,C,no,4 bedroom,1,90,370000
1297,29,13,A,no,3 bedroom,1,90,370000
1298,29,13,B,no,4 bedroom,0,110,370000
1299,29,13,C,no,4 bedroom,0,100,470000
1300,29,14,A,no,2 bedroom,1,110,420000
1301,29,14,B,no,4 bedroom,0,110,420000
1302,29,14,C,no,2 bedroom,0,110,420000
1303,29,15,A,no,4 bedroom,1,90,420000
1304,29,15,B,no,2 bedroom,0,90,370000
1305,29,15,C,no,4 bedroom,0,90,370000
1306,30,1,A,yes,2 bedroom,0,90,470000
1307,30,1,B,yes,3 bedroom,1,90,370000
1308,30,1,C,yes,3 bedroom,0,100,470000
1309,30,2,A,yes,2 bedroom,0,110,420000
1310,30,2,B,yes,4 bedroom,0,90,370000
1311,30,2,C,yes,2 bedroom,1,90,420000
1312,30,3,A,yes,2 bedroom,1,90,370000
1313,30,3,B,yes,4 bedroom,0,100,470000
1314,30,3,C,yes,2 bedroom,0,90,470000
1315,30,4,A,yes,3 bedroom,1,90,470000
1316,30,4,B,yes,4 bedroom,0,110,470000
1317,30,4,C,yes,3 bedroom,0,100,470000
1318,30,5,A,yes,3 bedroom,0,100,420000
1319,30,5,B,yes,3 bedroom,1,110,470000
1320,30,5,C,yes,4 bedroom,0,90,420000
1321,30,6,A,yes,2 bedroom,1,110,370000
1322,30,6,B,yes,2 bedroom,0,100,370000
1323,30,6,C,yes,3 bedroom,0,90,470000
1324,30,7,A,yes,3 bedroom,0,100,370000
1325,30,7,B,yes,3 bedroom,1,90,370000
1326,30,7,C,yes,2 bedroom,0,100,420000
1327,30,8,A,yes,2 bedroom,1,110,420000
1328,30,8,B,yes,4 bedroom,0,90,470000
1329,30,8,C,yes,4 bedroom,0,110,470000
1330,30,9,A,yes,2 bedroom,0,100,470000
1331,30,9,B,yes,2 bedroom,1,110,370000
1332,30,9,C,yes,4 bedroom,0,100,370000
1333,30,10,A,yes,2 bedroom,0,110,470000
1334,30,10,B,yes,3 bedroom,1,110,420000
1335,30,10,C,yes,3 bedroom,0,100,370000
1336,30,11,A,yes,4 bedroom,0,100,470000
1337,30,11,B,yes,3 bedroom,1,90,420000
1338,30,11,C,yes,4 bedroom,0,110,420000
1339,30,12,A,yes,4 bedroom,0,100,420000
1340,30,12,B,yes,4 bedroom,1,110,370000
1341,30,12,C,yes,2 bedroom,0,100,420000
1342,30,13,A,yes,4 bedroom,1,90,470000
1343,30,13,B,yes,2 bedroom,0,90,420000
1344,30,13,C,yes,4 bedroom,0,90,370000
1345,30,14,A,yes,2 bedroom,1,90,370000
1346,30,14,B,yes,2 bedroom,0,100,470000
1347,30,14,C,yes,4 bedroom,0,90,420000
1348,30,15,A,yes,4 bedroom,1,110,370000
1349,30,15,B,yes,3 bedroom,0,100,420000
1350,30,15,C,yes,4 bedroom,0,100,370000
1351,31,1,A,yes,4 bedroom,0,100,420000
1352,31,1,B,yes,3 bedroom,1,90,370000
1353,31,1,C,yes,3 bedroom,0,110,470000
1354,31,2,A,yes,3 bedroom,1,110,420000
1355,31,2,B,yes,2 bedroom,0,90,470000
1356,31,2,C,yes,4 bedroom,0,100,370000
1357,31,3,A,yes,3 bedroom,1,110,370000
1358,31,3,B,yes,3 bedroom,0,110,420000
1359,31,3,C,yes,3 bedroom,0,100,420000
1360,31,4,A,yes,4 bedroom,0,90,470000
1361,31,4,B,yes,3 bedroom,0,90,420000
1362,31,4,C,yes,2 bedroom,1,100,420000
1363,31,5,A,yes,2 bedroom,1,100,370000
1364,31,5,B,yes,2 bedroom,0,110,470000
1365,31,5,C,yes,2 bedroom,0,90,470000
1366,31,6,A,yes,4 bedroom,0,90,470000
1367,31,6,B,yes,2 bedroom,0,100,470000
1368,31,6,C,yes,3 bedroom,1,110,470000
1369,31,7,A,yes,4 bedroom,0,110,470000
1370,31,7,B,yes,3 bedroom,1,90,420000
1371,31,7,C,yes,2 bedroom,0,90,370000
1372,31,8,A,yes,4 bedroom,0,110,470000
1373,31,8,B,yes,4 bedroom,1,90,370000
1374,31,8,C,yes,3 bedroom,0,100,420000
1375,31,9,A,yes,2 bedroom,1,110,370000
1376,31,9,B,yes,2 bedroom,0,90,370000
1377,31,9,C,yes,4 bedroom,0,90,420000
1378,31,10,A,yes,3 bedroom,0,90,370000
1379,31,10,B,yes,2 bedroom,0,110,370000
1380,31,10,C,yes,4 bedroom,1,110,370000
1381,31,11,A,yes,4 bedroom,0,90,420000
1382,31,11,B,yes,4 bedroom,0,110,420000
1383,31,11,C,yes,3 bedroom,1,100,370000
1384,31,12,A,yes,4 bedroom,0,110,420000
1385,31,12,B,yes,3 bedroom,1,110,370000
1386,31,12,C,yes,4 bedroom,0,110,370000
1387,31,13,A,yes,2 bedroom,0,100,470000
1388,31,13,B,yes,3 bedroom,0,100,470000
1389,31,13,C,yes,4 bedroom,1,90,370000
1390,31,14,A,yes,2 bedroom,0,110,470000
1391,31,14,B,yes,2 bedroom,1,100,370000
1392,31,14,C,yes,2 bedroom,0,100,420000
1393,31,15,A,yes,4 bedroom,1,100,370000
1394,31,15,B,yes,2 bedroom,0,90,420000
1395,31,15,C,yes,3 bedroom,0,90,470000
1396,32,1,A,no,3 bedroom,0,100,470000
1397,32,1,B,no,2 bedroom,0,100,370000
1398,32,1,C,no,2 bedroom,1,90,370000
1399,32,2,A,no,2 bedroom,1,90,470000
1400,32,2,B,no,2 bedroom,0,90,470000
1401,32,2,C,no,4 bedroom,0,100,370000
1402,32,3,A,no,4 bedroom,0,110,470000
1403,32,3,B,no,4 bedroom,1,90,370000
1404,32,3,C,no,4 bedroom,0,110,420000
1405,32,4,A,no,4 bedroom,0,110,370000
1406,32,4,B,no,3 bedroom,1,90,470000
1407,32,4,C,no,3 bedroom,0,90,420000
1408,32,5,A,no,3 bedroom,0,110,420000
1409,32,5,B,no,2 bedroom,0,100,470000
1410,32,5,C,no,3 bedroom,1,100,370000
1411,32,6,A,no,3 bedroom,1,100,420000
1412,32,6,B,no,4 bedroom,0,90,470000
1413,32,6,C,no,4 bedroom,0,100,370000
1414,32,7,A,no,3 bedroom,0,100,370000
1415,32,7,B,no,4 bedroom,0,100,420000
1416,32,7,C,no,2 bedroom,1,110,420000
1417,32,8,A,no,2 bedroom,1,110,370000
1418,32,8,B,no,2 bedroom,0,110,420000
1419,32,8,C,no,4 bedroom,0,100,420000
1420,32,9,A,no,4 bedroom,0,90,420000
1421,32,9,B,no,4 bedroom,0,90,420000
1422,32,9,C,no,3 bedroom,1,110,420000
1423,32,10,A,no,3 bedroom,0,100,420000
1424,32,10,B,no,2 bedroom,0,110,470000
1425,32,10,C,no,2 bedroom,1,100,420000
1426,32,11,A,no,3 bedroom,0,110,470000
1427,32,11,B,no,3 bedroom,1,110,370000
1428,32,11,C,no,4 bedroom,0,110,370000
1429,32,12,A,no,3 bedroom,1,90,420000
1430,32,12,B,no,3 bedroom,0,90,470000
1431,32,12,C,no,4 bedroom,0,90,370000
1432,32,13,A,no,2 bedroom,0,100,420000
1433,32,13,B,no,3 bedroom,0,90,370000
1434,32,13,C,no,2 bedroom,1,90,370000
1435,32,14,A,no,3 bedroom,1,100,470000
1436,32,14,B,no,2 bedroom,0,90,420000
1437,32,14,C,no,4 bedroom,0,110,470000
1438,32,15,A,no,2 bedroom,0,110,370000
1439,32,15,B,no,3 bedroom,1,110,370000
1440,32,15,C,no,2 bedroom,0,100,470000
1441,33,1,A,no,3 bedroom,1,110,370000
1442,33,1,B,no,2 bedroom,0,110,420000
1443,33,1,C,no,4 bedroom,0,110,370000
1444,33,2,A,no,4 bedroom,0,100,420000
1445,33,2,B,no,2 bedroom,0,110,470000
1446,33,2,C,no,2 bedroom,1,100,470000
1447,33,3,A,no,3 bedroom,1,100,420000
1448,33,3,B,no,2 bedroom,0,100,420000
1449,33,3,C,no,2 bedroom,0,110,470000
1450,33,4,A,no,4 bedroom,0,110,420000
1451,33,4,B,no,4 bedroom,0,100,420000
1452,33,4,C,no,3 bedroom,1,100,370000
1453,33,5,A,no,2 bedroom,1,110,370000
1454,33,5,B,no,4 bedroom,0,110,370000
1455,33,5,C,no,4 bedroom,0,110,470000
1456,33,6,A,no,4 bedroom,1,90,370000
1457,33,6,B,no,3 bedroom,0,110,370000
1458,33,6,C,no,3 bedroom,0,110,420000
1459,33,7,A,no,2 bedroom,0,100,370000
1460,33,7,B,no,3 bedroom,1,100,470000
1461,33,7,C,no,4 bedroom,0,100,470000
1462,33,8,A,no,2 bedroom,0,100,370000
1463,33,8,B,no,3 bedroom,1,90,470000
1464,33,8,C,no,2 bedroom,0,90,420000
1465,33,9,A,no,4 bedroom,0,110,420000
1466,33,9,B,no,4 bedroom,1,100,370000
1467,33,9,C,no,4 bedroom,0,90,420000
1468,33,10,A,no,2 bedroom,0,90,470000
1469,33,10,B,no,3 bedroom,1,90,420000
1470,33,10,C,no,3 bedroom,0,100,370000
1471,33,11,A,no,4 bedroom,0,100,370000
1472,33,11,B,no,3 bedroom,1,90,470000
1473,33,11,C,no,4 bedroom,0,100,470000
1474,33,12,A,no,2 bedroom,0,110,370000
1475,33,12,B,no,2 bedroom,1,90,370000
1476,33,12,C,no,4 bedroom,0,90,470000
1477,33,13,A,no,2 bedroom,0,100,470000
1478,33,13,B,no,2 bedroom,1,100,420000
1479,33,13,C,no,3 bedroom,0,110,470000
1480,33,14,A,no,4 bedroom,1,90,370000
1481,33,14,B,no,2 bedroom,0,110,420000
1482,33,14,C,no,4 bedroom,0,90,470000
1483,33,15,A,no,3 bedroom,0,100,420000
1484,33,15,B,no,2 bedroom,0,90,420000
1485,33,15,C,no,3 bedroom,1,100,470000
1486,34,1,A,no,2 bedroom,1,100,370000
1487,34,1,B,no,2 bedroom,0,110,370000
1488,34,1,C,no,2 bedroom,0,90,470000
1489,34,2,A,no,4 bedroom,0,110,420000
1490,34,2,B,no,4 bedroom,0,100,420000
1491,34,2,C,no,4 bedroom,1,100,370000
1492,34,3,A,no,3 bedroom,1,90,420000
1493,34,3,B,no,2 bedroom,0,110,370000
1494,34,3,C,no,4 bedroom,0,90,420000
1495,34,4,A,no,2 bedroom,0,90,420000
1496,34,4,B,no,2 bedroom,1,90,370000
1497,34,4,C,no,3 bedroom,0,90,420000
1498,34,5,A,no,3 bedroom,1,100,370000
1499,34,5,B,no,3 bedroom,0,90,370000
1500,34,5,C,no,4 bedroom,0,90,370000
1501,34,6,A,no,3 bedroom,0,110,470000
1502,34,6,B,no,3 bedroom,0,90,470000
1503,34,6,C,no,3 bedroom,1,100,420000
1504,34,7,A,no,3 bedroom,1,110,420000
1505,34,7,B,no,4 bedroom,0,110,370000
1506,34,7,C,no,4 bedroom,0,100,420000
1507,34,8,A,no,3 bedroom,1,90,370000
1508,34,8,B,no,4 bedroom,0,90,370000
1509,34,8,C,no,4 bedroom,0,100,470000
1510,34,9,A,no,3 bedroom,1,110,370000
1511,34,9,B,no,4 bedroom,0,110,470000
1512,34,9,C,no,4 bedroom,0,90,470000
1513,34,10,A,no,2 bedroom,0,110,470000
1514,34,10,B,no,4 bedroom,1,90,420000
1515,34,10,C,no,4 bedroom,0,90,470000
1516,34,11,A,no,4 bedroom,0,100,370000
1517,34,11,B,no,2 bedroom,0,110,470000
1518,34,11,C,no,3 bedroom,1,100,420000
1519,34,12,A,no,3 bedroom,1,110,370000
1520,34,12,B,no,4 bedroom,0,110,420000
1521,34,12,C,no,3 bedroom,0,110,470000
1522,34,13,A,no,2 bedroom,0,100,470000
1523,34,13,B,no,4 bedroom,0,100,470000
1524,34,13,C,no,3 bedroom,1,100,470000
1525,34,14,A,no,2 bedroom,0,90,470000
1526,34,14,B,no,4 bedroom,0,110,470000
1527,34,14,C,no,2 bedroom,1,90,370000
1528,34,15,A,no,4 bedroom,0,110,370000
1529,34,15,B,no,3 bedroom,0,100,470000
1530,34,15,C,no,3 bedroom,1,100,370000
1531,35,1,A,yes,3 bedroom,1,110,370000
1532,35,1,B,yes,2 bedroom,0,100,470000
1533,35,1,C,yes,2 bedroom,0,90,470000
1534,35,2,A,yes,3 bedroom,0,100,420000
1535,35,2,B,yes,2 bedroom,1,110,420000
1536,35,2,C,yes,4 bedroom,0,90,370000
1537,35,3,A,yes,4 bedroom,0,100,470000
1538,35,3,B,yes,2 bedroom,0,90,420000
1539,35,3,C,yes,3 bedroom,1,100,470000
1540,35,4,A,yes,4 bedroom,1,100,420000
1541,35,4,B,yes,4 bedroom,0,90,470000
1542,35,4,C,yes,4 bedroom,0,90,420000
1543,35,5,A,yes,2 bedroom,0,110,370000
1544,35,5,B,yes,3 bedroom,1,110,370000
1545,35,5,C,yes,4 bedroom,0,110,470000
1546,35,6,A,yes,4 bedroom,0,110,370000
1547,35,6,B,yes,3 bedroom,1,90,420000
1548,35,6,C,yes,3 bedroom,0,100,470000
1549,35,7,A,yes,2 bedroom,0,100,470000
1550,35,7,B,yes,4 bedroom,0,100,470000
1551,35,7,C,yes,3 bedroom,1,90,420000
1552,35,8,A,yes,2 bedroom,1,100,370000
1553,35,8,B,yes,4 bedroom,0,90,370000
1554,35,8,C,yes,2 bedroom,0,100,420000
1555,35,9,A,yes,3 bedroom,0,90,470000
1556,35,9,B,yes,3 bedroom,0,110,420000
1557,35,9,C,yes,3 bedroom,1,100,420000
1558,35,10,A,yes,3 bedroom,1,100,370000
1559,35,10,B,yes,4 bedroom,0,100,420000
1560,35,10,C,yes,3 bedroom,0,110,470000
1561,35,11,A,yes,2 bedroom,0,90,470000
1562,35,11,B,yes,2 bedroom,0,100,420000
1563,35,11,C,yes,3 bedroom,1,90,370000
1564,35,12,A,yes,4 bedroom,0,100,370000
1565,35,12,B,yes,4 bedroom,0,110,420000
1566,35,12,C,yes,2 bedroom,1,110,470000
1567,35,13,A,yes,3 bedroom,0,110,420000
1568,35,13,B,yes,4 bedroom,0,90,420000
1569,35,13,C,yes,2 bedroom,1,100,370000
1570,35,14,A,yes,2 bedroom,0,90,370000
1571,35,14,B,yes,3 bedroom,1,100,370000
1572,35,14,C,yes,2 bedroom,0,110,370000
1573,35,15,A,yes,2 bedroom,0,110,420000
1574,35,15,B,yes,4 bedroom,0,90,470000
1575,35,15,C,yes,2 bedroom,1,110,470000
1576,36,1,A,no,3 bedroom,1,110,370000
1577,36,1,B,no,4 bedroom,0,100,470000
1578,36,1,C,no,4 bedroom,0,90,370000
1579,36,2,A,no,2 bedroom,0,90,470000
1580,36,2,B,no,2 bedroom,0,100,470000
1581,36,2,C,no,4 bedroom,1,110,370000
1582,36,3,A,no,2 bedroom,0,100,370000
1583,36,3,B,no,4 bedroom,0,110,370000
1584,36,3,C,no,2 bedroom,1,90,370000
1585,36,4,A,no,3 bedroom,1,100,470000
1586,36,4,B,no,3 bedroom,0,100,420000
1587,36,4,C,no,2 bedroom,0,100,420000
1588,36,5,A,no,3 bedroom,1,110,470000
1589,36,5,B,no,3 bedroom,0,110,420000
1590,36,5,C,no,2 bedroom,0,110,420000
1591,36,6,A,no,4 bedroom,0,90,470000
1592,36,6,B,no,3 bedroom,1,110,420000
1593,36,6,C,no,2 bedroom,0,110,470000
1594,36,7,A,no,2 bedroom,0,110,470000
1595,36,7,B,no,2 bedroom,0,90,370000
1596,36,7,C,no,3 bedroom,1,110,370000
1597,36,8,A,no,4 bedroom,0,110,470000
1598,36,8,B,no,3 bedroom,1,90,470000
1599,36,8,C,no,3 bedroom,0,100,470000
1600,36,9,A,no,2 bedroom,0,100,420000
1601,36,9,B,no,3 bedroom,1,90,370000
1602,36,9,C,no,4 bedroom,0,100,370000
1603,36,10,A,no,4 bedroom,0,110,470000
1604,36,10,B,no,3 bedroom,1,90,370000
1605,36,10,C,no,3 bedroom,0,100,370000
1606,36,11,A,no,3 bedroom,1,90,420000
1607,36,11,B,no,4 bedroom,0,90,470000
1608,36,11,C,no,2 bedroom,0,100,370000
1609,36,12,A,no,4 bedroom,0,110,420000
1610,36,12,B,no,3 bedroom,1,90,420000
1611,36,12,C,no,4 bedroom,0,90,370000
1612,36,13,A,no,3 bedroom,0,100,370000
1613,36,13,B,no,4 bedroom,1,90,420000
1614,36,13,C,no,4 bedroom,0,100,370000
1615,36,14,A,no,3 bedroom,1,90,470000
1616,36,14,B,no,4 bedroom,0,90,420000
1617,36,14,C,no,4 bedroom,0,110,420000
1618,36,15,A,no,4 bedroom,0,100,470000
1619,36,15,B,no,2 bedroom,0,100,470000
1620,36,15,C,no,3 bedroom,1,100,420000
1621,37,1,A,no,3 bedroom,1,100,470000
1622,37,1,B,no,4 bedroom,0,110,420000
1623,37,1,C,no,3 bedroom,0,90,470000
1624,37,2,A,no,3 bedroom,0,100,470000
1625,37,2,B,no,2 bedroom,0,90,420000
1626,37,2,C,no,3 bedroom,1,100,420000
1627,37,3,A,no,3 bedroom,0,90,420000
1628,37,3,B,no,3 bedroom,1,90,370000
1629,37,3,C,no,4 bedroom,0,110,470000
1630,37,4,A,no,2 bedroom,1,100,420000
1631,37,4,B,no,3 bedroom,0,90,420000
1632,37,4,C,no,4 bedroom,0,90,420000
1633,37,5,A,no,3 bedroom,0,110,470000
1634,37,5,B,no,4 bedroom,0,90,370000
1635,37,5,C,no,2 bedroom,1,100,470000
1636,37,6,A,no,3 bedroom,0,100,370000
1637,37,6,B,no,4 bedroom,0,110,470000
1638,37,6,C,no,2 bedroom,1,100,370000
1639,37,7,A,no,3 bedroom,1,110,370000
1640,37,7,B,no,4 bedroom,0,90,370000
1641,37,7,C,no,4 bedroom,0,100,370000
1642,37,8,A,no,4 bedroom,0,110,370000
1643,37,8,B,no,3 bedroom,1,100,420000
1644,37,8,C,no,4 bedroom,0,100,470000
1645,37,9,A,no,2 bedroom,1,90,370000
1646,37,9,B,no,2 bedroom,0,110,470000
1647,37,9,C,no,2 bedroom,0,90,370000
1648,37,10,A,no,4 bedroom,0,100,370000
1649,37,10,B,no,3 bedroom,1,100,370000
1650,37,10,C,no,2 bedroom,0,110,370000
1651,37,11,A,no,3 bedroom,0,110,420000
1652,37,11,B,no,2 bedroom,0,100,470000
1653,37,11,C,no,3 bedroom,1,90,470000
1654,37,12,A,no,2 bedroom,1,90,470000
1655,37,12,B,no,4 bedroom,0,100,420000
1656,37,12,C,no,4 bedroom,0,110,370000
1657,37,13,A,no,2 bedroom,0,110,470000
1658,37,13,B,no,2 bedroom,1,110,420000
1659,37,13,C,no,2 bedroom,0,90,470000
1660,37,14,A,no,4 bedroom,0,100,420000
1661,37,14,B,no,2 bedroom,0,100,370000
1662,37,14,C,no,3 bedroom,1,110,470000
1663,37,15,A,no,3 bedroom,1,90,370000
1664,37,15,B,no,4 bedroom,0,90,420000
1665,37,15,C,no,4 bedroom,0,100,470000
1666,38,1,A,no,4 bedroom,0,100,370000
1667,38,1,B,no,3 bedroom,0,110,470000
1668,38,1,C,no,2 bedroom,1,90,420000
1669,38,2,A,no,2 bedroom,0,110,470000
1670,38,2,B,no,4 bedroom,1,90,370000
1671,38,2,C,no,4 bedroom,0,100,370000
1672,38,3,A,no,3 bedroom,0,110,470000
1673,38,3,B,no,2 bedroom,0,100,420000
1674,38,3,C,no,3 bedroom,1,90,470000
1675,38,4,A,no,2 bedroom,0,90,420000
1676,38,4,B,no,2 bedroom,0,90,370000
1677,38,4,C,no,2 bedroom,1,90,370000
1678,38,5,A,no,2 bedroom,0,100,420000
1679,38,5,B,no,4 bedroom,0,90,470000
1680,38,5,C,no,4 bedroom,1,110,370000
1681,38,6,A,no,3 bedroom,1,100,420000
1682,38,6,B,no,2 bedroom,0,100,470000
1683,38,6,C,no,4 bedroom,0,90,470000
1684,38,7,A,no,4 bedroom,0,90,420000
1685,38,7,B,no,4 bedroom,0,110,420000
1686,38,7,C,no,3 bedroom,1,90,370000
1687,38,8,A,no,3 bedroom,1,90,420000
1688,38,8,B,no,3 bedroom,0,100,470000
1689,38,8,C,no,4 bedroom,0,100,420000
1690,38,9,A,no,3 bedroom,1,100,420000
1691,38,9,B,no,4 bedroom,0,100,470000
1692,38,9,C,no,2 bedroom,0,100,470000
1693,38,10,A,no,2 bedroom,0,90,470000
1694,38,10,B,no,3 bedroom,1,100,370000
1695,38,10,C,no,4 bedroom,0,110,370000
1696,38,11,A,no,4 bedroom,0,110,470000
1697,38,11,B,no,2 bedroom,1,90,470000
1698,38,11,C,no,2 bedroom,0,100,370000
1699,38,12,A,no,3 bedroom,0,90,470000
1700,38,12,B,no,3 bedroom,1,90,420000
1701,38,12,C,no,4 bedroom,0,110,470000
1702,38,13,A,no,3 bedroom,1,90,370000
1703,38,13,B,no,2 bedroom,0,110,420000
1704,38,13,C,no,4 bedroom,0,100,420000
1705,38,14,A,no,3 bedroom,1,110,420000
1706,38,14,B,no,4 bedroom,0,110,420000
1707,38,14,C,no,3 bedroom,0,110,370000
1708,38,15,A,no,3 bedroom,0,110,420000
1709,38,15,B,no,2 bedroom,1,110,370000
1710,38,15,C,no,2 bedroom,0,110,420000
1711,39,1,A,no,2 bedroom,0,90,470000
1712,39,1,B,no,2 bedroom,1,110,420000
1713,39,1,C,no,2 bedroom,0,100,370000
1714,39,2,A,no,4 bedroom,0,110,420000
1715,39,2,B,no,3 bedroom,1,100,420000
1716,39,2,C,no,3 bedroom,0,110,370000
1717,39,3,A,no,4 bedroom,0,110,420000
1718,39,3,B,no,3 bedroom,1,90,370000
1719,39,3,C,no,3 bedroom,0,110,470000
1720,39,4,A,no,2 bedroom,0,110,420000
1721,39,4,B,no,3 bedroom,1,90,470000
1722,39,4,C,no,2 bedroom,0,100,420000
1723,39,5,A,no,3 bedroom,1,90,420000
1724,39,5,B,no,4 bedroom,0,90,470000
1725,39,5,C,no,3 bedroom,0,110,470000
1726,39,6,A,no,4 bedroom,0,90,420000
1727,39,6,B,no,4 bedroom,1,110,470000
1728,39,6,C,no,3 bedroom,0,90,470000
1729,39,7,A,no,4 bedroom,0,90,370000
1730,39,7,B,no,3 bedroom,1,110,420000
1731,39,7,C,no,2 bedroom,0,90,470000
1732,39,8,A,no,2 bedroom,0,100,470000
1733,39,8,B,no,2 bedroom,0,100,470000
1734,39,8,C,no,2 bedroom,1,110,470000
1735,39,9,A,no,2 bedroom,1,90,370000
1736,39,9,B,no,4 bedroom,0,110,370000
1737,39,9,C,no,4 bedroom,0,100,370000
1738,39,10,A,no,3 bedroom,0,100,470000
1739,39,10,B,no,3 bedroom,0,100,470000
1740,39,10,C,no,3 bedroom,1,110,370000
1741,39,11,A,no,4 bedroom,0,90,370000
1742,39,11,B,no,4 bedroom,0,90,470000
1743,39,11,C,no,2 bedroom,1,110,370000
1744,39,12,A,no,4 bedroom,0,110,470000
1745,39,12,B,no,3 bedroom,0,90,420000
1746,39,12,C,no,2 bedroom,1,90,420000
1747,39,13,A,no,3 bedroom,0,110,420000
1748,39,13,B,no,3 bedroom,1,90,370000
1749,39,13,C,no,4 bedroom,0,100,420000
1750,39,14,A,no,2 bedroom,0,90,370000
1751,39,14,B,no,4 bedroom,0,90,420000
1752,39,14,C,no,3 bedroom,1,100,420000
1753,39,15,A,no,4 bedroom,0,110,370000
1754,39,15,B,no,3 bedroom,1,100,370000
1755,39,15,C,no,3 bedroom,0,100,370000
1756,40,1,A,yes,4 bedroom,1,100,370000
1757,40,1,B,yes,3 bedroom,0,110,420000
1758,40,1,C,yes,3 bedroom,0,90,420000
1759,40,2,A,yes,4 bedroom,0,110,420000
1760,40,2,B,yes,2 bedroom,0,100,470000
1761,40,2,C,yes,3 bedroom,1,90,470000
1762,40,3,A,yes,2 bedroom,0,110,420000
1763,40,3,B,yes,4 bedroom,0,110,420000
1764,40,3,C,yes,3 bedroom,1,100,420000
1765,40,4,A,yes,2 bedroom,1,90,420000
1766,40,4,B,yes,4 bedroom,0,110,470000
1767,40,4,C,yes,4 bedroom,0,100,420000
1768,40,5,A,yes,3 bedroom,1,110,370000
1769,40,5,B,yes,3 bedroom,0,100,470000
1770,40,5,C,yes,3 bedroom,0,100,370000
1771,40,6,A,yes,4 bedroom,0,100,420000
1772,40,6,B,yes,3 bedroom,1,90,420000
1773,40,6,C,yes,2 bedroom,0,100,370000
1774,40,7,A,yes,2 bedroom,1,110,420000
1775,40,7,B,yes,2 bedroom,0,100,470000
1776,40,7,C,yes,2 bedroom,0,100,420000
1777,40,8,A,yes,2 bedroom,1,90,370000
1778,40,8,B,yes,2 bedroom,0,90,470000
1779,40,8,C,yes,4 bedroom,0,110,470000
1780,40,9,A,yes,4 bedroom,0,90,470000
1781,40,9,B,yes,2 bedroom,0,90,470000
1782,40,9,C,yes,3 bedroom,1,110,420000
1783,40,10,A,yes,3 bedroom,0,90,370000
1784,40,10,B,yes,2 bedroom,0,110,370000
1785,40,10,C,yes,4 bedroom,1,90,370000
1786,40,11,A,yes,2 bedroom,1,100,370000
1787,40,11,B,yes,3 bedroom,0,100,470000
1788,40,11,C,yes,4 bedroom,0,90,470000
1789,40,12,A,yes,2 bedroom,0,100,420000
1790,40,12,B,yes,2 bedroom,0,90,420000
1791,40,12,C,yes,3 bedroom,1,90,370000
1792,40,13,A,yes,3 bedroom,0,90,470000
1793,40,13,B,yes,4 bedroom,0,100,470000
1794,40,13,C,yes,4 bedroom,1,100,370000
1795,40,14,A,yes,2 bedroom,1,90,370000
1796,40,14,B,yes,2 bedroom,0,110,470000
1797,40,14,C,yes,3 bedroom,0,110,470000
1798,40,15,A,yes,3 bedroom,1,110,370000
1799,40,15,B,yes,3 bedroom,0,100,370000
1800,40,15,C,yes,4 bedroom,0,100,470000
1801,41,1,A,no,2 bedroom,0,100,420000
1802,41,1,B,no,3 bedroom,0,90,470000
1803,41,1,C,no,2 bedroom,1,100,370000
1804,41,2,A,no,3 bedroom,0,100,470000
1805,41,2,B,no,2 bedroom,1,90,370000
1806,41,2,C,no,2 bedroom,0,100,470000
1807,41,3,A,no,2 bedroom,0,110,370000
1808,41,3,B,no,4 bedroom,1,100,420000
1809,41,3,C,no,2 bedroom,0,90,370000
1810,41,4,A,no,3 bedroom,1,110,470000
1811,41,4,B,no,2 bedroom,0,110,420000
1812,41,4,C,no,4 bedroom,0,100,470000
1813,41,5,A,no,3 bedroom,0,110,470000
1814,41,5,B,no,4 bedroom,0,100,470000
1815,41,5,C,no,3 bedroom,1,90,370000
1816,41,6,A,no,2 bedroom,1,90,420000
1817,41,6,B,no,2 bedroom,0,100,420000
1818,41,6,C,no,3 bedroom,0,90,420000
1819,41,7,A,no,3 bedroom,1,90,370000
1820,41,7,B,no,2 bedroom,0,110,370000
